OBS,HOUSEHOLDID,BOUGHT.US,PRICE.COMP,PRICE.US,DISPL.COMP,DISPL.US,COUP.COMP,COUP.US,COUPDISPL.COMP,COUPDISPL.US
117,11,0,29.999999,41.000001,0,0,0,1,0,0
118,11,0,12,41.000001,0,0,1,0,0,0
119,11,0,29.999999,41.000001,0,0,0,0,0,0
120,11,0,29.999999,41.000001,0,0,0,0,0,0
121,12,0,32.000002,34.000002,0,0,0,0,0,0
122,12,0,22,34.000002,0,0,0,0,0,0
123,12,0,28.000001,29.999999,1,0,0,0,0,0
124,12,0,22,30.999999,1,0,0,0,0,0
125,12,0,30.999999,32.000002,1,0,0,0,0,0
126,12,0,34.000002,28.000001,0,1,0,0,0,0
127,12,0,30.999999,34.000002,0,0,0,0,0,0
128,12,0,32.000002,37,0,0,1,0,0,0
129,12,0,30.999999,37,0,0,0,0,1,0
130,13,0,34.000002,30.999999,0,0,0,0,0,0
131,13,0,15,30.999999,0,0,0,0,0,0
132,13,0,43.000001,30.999999,1,0,0,0,0,0
133,13,0,29.999999,28.000001,0,0,1,0,0,0
134,13,0,32.000002,28.000001,0,0,1,0,0,0
135,13,0,34.000002,30.999999,0,0,0,0,0,0
136,13,0,34.000002,30.999999,0,0,0,0,0,0
137,13,0,29.999999,30.999999,0,0,0,0,0,0
138,14,0,28.999999,41.000001,0,0,0,0,0,0
139,14,0,34.000002,41.000001,0,0,0,0,0,0
140,14,0,34.000002,45.000002,0,0,0,0,0,0
141,14,0,25,37,0,0,0,0,0,0
142,14,0,30.999999,44,0,0,0,0,0,0
143,14,0,28.000001,35.999998,0,0,0,1,0,0
144,14,0,17.000001,35.999998,0,0,0,1,0,0
145,14,0,27.000001,35.999998,0,0,0,1,0,0
146,15,0,52.000001,34.000002,0,0,0,0,0,0
147,15,0,50.000001,30.999999,0,0,0,0,0,0
148,15,0,43.333334,34.000002,0,0,0,0,0,0
149,15,0,43.333333,34.000002,0,0,0,0,0,0
150,15,0,29.999999,18.999999,0,0,0,0,0,0
151,15,0,25,29.999999,1,0,0,0,0,0
152,15,0,42.333333,29.999999,0,0,0,0,0,0
153,15,0,43.666667,30.999999,0,0,0,0,0,0
154,15,0,46.999998,30.999999,0,0,1,0,0,0
155,15,0,46,30.999999,0,0,0,0,0,0
156,15,1,43.000002,28.000001,0,0,0,0,0,0
157,15,0,43.666667,30.999999,0,0,0,0,0,0
158,15,0,39.000001,32.000002,1,0,0,0,0,0
159,15,0,50.000001,30.999999,0,0,0,0,0,0
160,15,1,50.000001,34.000002,0,0,0,0,0,0
161,15,1,50.000001,26.000001,0,0,0,0,0,0
162,15,0,30.999999,34.000002,1,0,0,0,0,0
163,15,1,45.666667,25,0,1,0,0,0,0
164,15,1,43.333334,29.999999,0,0,0,0,0,0
165,15,0,52.999999,37,0,0,0,0,0,0
166,15,0,37,37,0,0,0,0,0,0
167,15,0,52.999999,37,0,0,0,0,0,0
168,16,0,34.000002,46.999998,1,0,0,0,0,0
169,16,0,29.999999,29.999999,0,0,0,0,0,0
170,16,0,40.333334,29.999999,0,0,0,0,0,0
171,16,0,12,35,0,0,1,0,0,0
172,16,0,41,35,0,0,0,0,0,0
173,16,0,30.999999,30.999999,1,0,0,0,0,0
174,16,0,44.666668,30.999999,0,1,0,0,0,0
175,16,1,46,34.000002,0,0,0,0,0,0
176,16,0,40,37,1,0,0,0,0,0
177,16,0,22,33,0,0,0,0,0,0
178,17,0,33,52.000001,0,0,0,0,0,0
179,17,0,29.999999,63.000001,0,0,0,0,0,0
180,17,0,27.000001,41.000001,0,0,0,1,0,0
181,17,0,12,41.000001,0,0,1,0,0,0
182,17,0,42.333333,34.000002,1,0,0,0,0,0
183,17,0,32.000002,41.000001,0,0,1,0,0,0
184,17,0,15,41.000001,0,0,0,0,0,0
185,17,0,50.000001,41.000001,0,0,1,0,0,0
186,18,0,34.000002,39.000001,0,0,0,0,0,0
187,18,0,17.000001,35.999998,0,0,0,1,0,0
188,18,0,12,35,0,0,1,0,0,0
189,18,0,15,35,0,0,0,0,0,0
190,18,0,17.999999,41.999999,0,0,0,0,0,0
191,19,0,39.000001,30.999999,0,0,0,0,0,0
192,19,0,41.000001,29.999999,0,0,0,0,0,0
193,19,0,29.999999,28.000001,0,0,1,0,0,0
194,19,0,29.999999,39.999999,0,0,0,0,0,0
195,19,0,34.000002,30.999999,1,0,0,0,0,0
196,19,0,21,34.000002,0,0,0,0,0,0
197,20,1,50.000001,41.000001,0,0,0,0,0,0
198,20,0,28.000001,39.999999,0,0,0,0,0,0
199,20,1,34.000002,30.999999,0,0,0,0,0,0
200,20,0,34.000002,33,0,0,0,1,0,0
201,20,1,32.000002,28.999999,0,0,0,0,0,0
202,20,1,34.000002,30.999999,0,0,0,0,0,0
203,20,1,34.000002,30.999999,0,0,0,0,0,0
204,21,0,35,29.999999,0,0,0,0,0,0
205,21,0,28.999999,28.000001,1,0,0,0,0,0
206,21,0,46.999998,30.999999,0,0,0,0,0,0
207,21,0,35,34.000002,0,0,0,0,0,0
208,21,0,21,34.000002,0,0,0,0,0,0
209,21,0,35,37,0,0,0,0,1,0
210,22,0,34.000002,46.999998,1,0,0,0,0,0
211,22,0,35.666668,35.999998,0,0,0,0,0,0
212,22,0,38.666667,35,0,0,1,0,0,0
213,22,0,41.999999,35,0,0,1,0,0,0
214,22,0,37,35,0,0,0,0,0,0
215,23,0,17.999999,39.999999,0,0,0,0,0,0
216,23,1,42.666667,28.000001,0,0,0,0,0,0
217,23,0,32.000002,28.000001,0,0,0,0,0,0
218,23,0,34.000002,30.999999,0,0,0,0,0,0
219,23,0,22,30.999999,0,0,0,0,1,0
220,23,0,17.000001,34.000002,1,0,0,0,0,0
221,23,1,45.666667,25,0,0,0,0,0,0
222,23,0,46,34.000002,0,0,0,0,0,0
223,23,0,21,34.000002,0,0,0,0,0,0
224,23,0,41.333334,28.000001,0,0,0,0,0,0
225,23,0,22,33,0,0,0,0,0,0
226,23,0,38.666667,34.000002,1,0,0,0,0,0
227,24,0,27.000001,48,0,0,1,0,0,0
228,24,0,29.999999,48,0,0,1,0,0,0
229,24,0,21,35,0,0,1,0,0,0
230,24,0,46,41.000001,0,0,0,1,0,0
231,24,0,41.000001,33,0,0,0,0,0,0
232,24,0,29.999999,41.000001,0,0,0,0,0,0
233,24,0,32.000002,41.000001,0,0,1,0,0,0
234,24,0,32.000002,41.000001,0,0,0,0,0,0
235,24,0,32.000002,43.000001,0,0,1,0,0,0
236,24,0,32.000002,41.000001,0,0,0,0,1,0
237,25,0,34.000002,35,0,0,0,0,0,0
238,25,0,37,37,0,0,0,0,0,0
239,25,0,37,34.000002,0,0,0,0,1,0
240,25,0,29.999999,29.999999,0,0,0,0,0,0
241,25,0,34.000002,30.999999,1,0,0,0,0,0
242,25,0,46.999998,30.999999,0,0,0,0,0,0
243,25,0,34.000002,28.000001,0,1,0,0,0,0
244,26,0,28.000001,35.999998,0,0,0,0,0,0
245,26,0,29.999999,28.000001,0,0,1,0,0,0
246,26,0,34.000002,30.999999,0,0,0,0,0,0
247,26,0,41.999999,41.999999,0,0,0,0,0,0
248,26,0,41.333334,28.000001,0,0,0,0,0,0
249,27,0,37,39.999999,0,0,0,0,0,0
250,27,0,17.999999,39.999999,0,0,0,0,0,0
251,27,0,28.000001,39.000001,0,0,0,0,0,0
252,27,0,34.000002,30.999999,0,0,0,0,0,0
253,27,0,34.000002,30.999999,1,0,0,0,0,0
254,27,0,30.999999,34.000002,0,0,0,0,1,0
255,27,0,29.999999,34.000002,0,0,0,0,0,0
256,27,0,21,28.000001,0,0,0,0,0,0
257,27,0,34.000002,28.000001,0,0,0,0,0,0
258,27,0,34.000002,28.000001,0,0,0,0,0,0
259,27,0,34.000002,30.999999,0,0,0,0,0,0
260,27,0,30.999999,30.999999,1,0,0,0,0,0
261,27,1,34.000002,30.999999,0,0,0,0,0,0
262,27,0,34.000002,33,0,0,0,0,0,0
263,27,0,30.999999,34.000002,1,0,0,0,0,0
264,27,0,21,34.000002,0,0,0,0,0,0
265,27,0,37,34.000002,0,0,0,0,0,0
266,27,0,35,34.000002,1,0,0,0,0,0
267,27,0,37,34.000002,0,0,0,0,0,0
268,27,0,37,34.000002,0,0,0,0,0,0
269,27,0,37,34.000002,0,0,0,0,0,0
270,27,0,21,34.000002,0,0,1,0,0,0
271,27,0,37,34.000002,0,0,0,0,0,0
272,27,0,37,34.000002,1,0,0,0,0,0
273,27,0,22,34.000002,0,0,0,0,0,0
274,27,1,37,34.000002,0,0,0,0,0,0
275,28,0,28.000001,35.999998,0,0,0,0,0,0
276,28,0,29.999999,48,0,0,1,0,0,0
277,28,0,46,48,0,0,1,0,0,0
278,28,0,46,48,0,0,1,0,0,0
279,28,0,34.000002,28.000001,0,0,0,0,0,0
280,28,0,46,41.000001,0,0,1,1,0,0
281,28,0,25,30.999999,0,0,0,0,0,0
282,28,0,29.999999,41.000001,0,0,0,0,0,0
283,28,0,43.000002,28.000001,0,1,0,0,0,0
284,28,0,41.666668,22,0,0,0,0,0,0
285,28,0,44.666668,28.000001,0,0,0,0,0,0
286,28,0,15,41.000001,0,0,0,0,0,0
287,28,0,32.000002,28.000001,0,1,0,0,0,0
288,28,0,43.000001,34.000002,1,0,0,0,0,0
289,29,0,52.000001,37,0,0,0,0,0,0
290,29,0,52.000001,37,0,0,0,0,0,0
291,29,0,46.999998,37,0,0,0,0,0,0
292,29,0,46.999998,34.000002,0,0,0,0,0,0
293,29,0,35,29.999999,1,0,0,0,0,0
294,29,1,48.999999,29.999999,1,0,0,0,0,0
295,29,0,46.999998,30.999999,0,0,0,0,0,0
296,29,0,46.999998,30.999999,0,0,0,0,0,0
297,30,0,37,34.000002,0,0,0,0,0,0
298,30,0,37,34.000002,0,0,0,0,0,0
299,30,0,33,48,1,0,0,0,0,0
300,30,0,30.999999,37,1,0,0,0,0,0
301,30,0,30.999999,37,0,0,0,0,0,0
302,30,0,37,34.000002,0,0,0,0,0,0
303,30,0,29.999999,48,0,0,1,0,0,0
304,30,0,30.999999,34.000002,0,0,0,0,1,0
305,30,0,29.999999,29.999999,0,0,0,0,0,0
306,30,0,35,29.999999,0,0,0,0,0,0
307,31,0,37,37,0,0,0,0,0,0
308,31,0,42.000001,30.999999,0,0,0,0,0,0
309,31,1,38.333333,28.000001,0,1,0,0,0,0
310,31,0,21,28.000001,0,0,0,0,0,0
311,31,0,34.000002,30.999999,0,0,0,0,0,0
312,31,0,16.000001,30.999999,0,0,0,0,0,0
313,31,0,35,34.000002,0,0,0,0,1,0
314,32,1,45,26.000001,0,0,0,0,0,0
315,32,1,45,37,0,0,0,0,0,0
316,32,1,42.333333,29.999999,0,0,0,0,0,0
317,32,1,38.333334,17.999999,0,0,0,0,0,0
318,32,1,50.000001,30.999999,0,0,0,0,0,0
319,32,1,42.000001,28.000001,0,0,0,0,1,0
320,33,0,27.000001,35.999998,0,0,0,0,0,0
321,33,0,27.000001,35,0,0,0,1,0,0
322,33,0,12,41.000001,0,0,1,0,0,0
323,33,0,41.999999,35,0,0,0,0,0,0
324,33,0,15,35,0,0,0,0,0,0
325,33,0,39.000001,35,0,0,0,0,0,0
326,33,0,22,33,0,0,0,0,0,0
327,34,0,37.999999,28.000001,0,1,0,0,0,0
328,34,0,24,28.000001,0,0,0,0,0,0
329,34,0,29.999999,28.000001,0,0,0,0,0,0
330,34,0,34.000002,30.999999,0,0,1,0,0,0
331,34,0,35,28.999999,0,0,0,0,0,0
332,34,0,41.666668,28.000001,0,0,0,0,0,0
333,34,0,22,33,0,0,0,0,0,0
334,35,0,37,39.000001,0,0,0,0,0,0
335,35,0,28.000001,39.000001,0,0,0,0,0,0
336,35,0,30.999999,34.000002,1,0,0,0,0,0
337,35,0,27.000001,29.999999,0,0,0,0,0,0
338,35,0,24,30.999999,0,0,0,0,0,0
339,35,0,28.000001,30.999999,0,0,1,0,0,0
340,35,0,28.000001,30.999999,1,0,0,0,0,0
341,35,0,30.999999,37,0,0,0,0,0,0
342,35,0,34.000002,34.000002,0,0,0,0,0,0
343,35,0,15,35,0,0,1,0,0,0
344,35,0,21,34.000002,0,0,0,0,0,0
345,35,0,21,34.000002,0,0,0,0,0,0
346,35,0,22,33,0,0,0,0,0,0
347,36,0,32.000002,34.000002,0,0,0,0,0,0
348,36,0,30.999999,37,1,0,0,0,0,0
349,36,0,17.999999,37,0,0,0,0,0,0
350,36,1,36.666667,28.000001,0,0,0,0,0,1
351,36,0,29.999999,33,0,0,1,0,0,0
352,36,0,29.999999,29.999999,0,0,0,0,0,0
353,36,0,39.000001,29.999999,1,0,0,0,0,0
354,36,0,41.000001,35,0,0,0,0,0,0
355,36,0,25,30.999999,1,0,0,0,0,0
356,36,0,34.000002,30.999999,0,0,0,0,0,0
357,36,0,37,30.999999,0,0,0,0,0,0
358,36,0,30.999999,30.999999,0,0,0,0,0,0
359,36,0,37,34.000002,0,0,0,0,0,0
360,36,0,30.999999,34.000002,1,0,0,0,0,0
361,36,0,37,34.000002,0,0,0,0,0,0
362,36,0,37,37,0,0,1,0,0,0
363,37,0,30.999999,44,0,0,0,0,0,0
364,37,0,41.000001,35.999998,1,0,0,1,0,0
365,37,0,41.000001,35,0,0,0,1,0,0
366,37,0,43.000001,30.999999,0,0,0,0,0,0
367,37,0,41.999999,35,0,0,0,0,0,0
368,37,0,46.999998,35,0,0,1,0,0,0
369,37,0,46,37,0,0,1,0,0,0
370,37,0,37.999999,34.000002,1,0,0,0,0,0
371,37,0,39.000001,35,0,0,0,0,1,0
372,37,0,46.999998,41.999999,1,0,0,0,0,0
373,37,0,46.999998,41.999999,0,0,0,0,0,0
374,38,0,17.999999,34.000002,0,0,0,0,0,0
375,38,0,46,48,0,0,1,0,0,0
376,38,0,46,48,0,0,0,0,0,0
377,38,0,34.000002,28.000001,0,0,0,0,0,0
378,38,0,46,41.000001,0,0,1,1,0,0
379,38,0,21,34.000002,0,0,0,0,0,0
380,38,0,39.000001,37,1,0,0,0,0,0
381,38,0,37,34.000002,0,0,0,0,0,0
382,39,0,28.000001,41.000001,0,0,0,0,0,0
383,39,0,28.000001,30.999999,0,0,0,0,0,0
384,39,0,32.000002,28.000001,1,0,0,0,0,0
385,39,0,21,28.000001,0,0,0,0,0,0
386,39,0,34.000002,30.999999,0,0,1,0,0,0
387,39,0,34.000002,30.999999,1,0,0,0,0,0
388,39,0,37,34.000002,0,0,0,0,0,0
389,39,0,21,34.000002,0,0,0,0,0,0
390,39,0,35,34.000002,1,0,0,0,0,0
391,39,0,35,28.999999,0,0,0,0,0,0
392,39,0,21,34.000002,0,0,0,0,0,0
393,39,0,22,34.000002,0,0,0,0,0,0
394,40,0,37,34.000002,0,0,0,0,0,0
395,40,0,37.999999,29.999999,0,0,0,0,0,0
396,40,0,21,35,0,0,1,0,0,0
397,40,0,41.000001,39.999999,0,0,0,0,0,0
398,40,0,43.000001,37,0,0,0,0,0,0
399,40,0,17.999999,41.999999,0,0,0,0,0,0
400,41,0,28.000001,35.999998,0,0,0,0,0,0
401,41,1,30.999999,34.000002,1,0,0,0,0,0
402,41,1,41.999999,30.999999,0,0,0,0,0,0
403,41,1,34.000002,30.999999,0,0,0,0,0,0
404,41,1,30.999999,37,1,0,0,0,0,0
405,42,1,33.666667,28.000001,1,0,0,0,0,0
406,42,1,38.000001,28.000001,0,0,0,0,0,0
407,42,0,34.000002,28.000001,0,0,0,0,0,0
408,42,1,39.333335,28.000001,0,0,0,0,0,0
409,42,0,28.000001,28.000001,0,0,0,0,0,0
410,42,1,41.666668,34.000002,0,0,0,0,0,0
411,42,0,30.999999,34.000002,1,0,0,0,0,0
412,42,1,41.333334,34.000002,0,0,0,0,0,0
413,42,1,35,28.000001,0,0,0,0,0,0
414,42,0,35,34.000002,0,0,0,0,0,0
415,42,0,35.999998,37,1,0,0,0,0,0
416,43,0,28.000001,34.000002,0,0,0,0,0,0
417,43,0,28.000001,34.000002,0,0,0,0,0,0
418,43,0,28.000001,30.999999,1,0,0,0,0,0
419,43,0,41.999999,28.000001,0,0,0,0,0,0
420,43,0,34.000002,28.000001,0,0,0,0,0,0
421,43,0,30.999999,30.999999,1,0,0,0,0,0
422,43,0,35,34.000002,0,0,0,0,0,0
423,43,0,43.000001,34.000002,0,0,0,0,0,0
424,43,1,41.666668,28.000001,0,0,0,0,0,0
425,44,0,17.999999,39.000001,0,0,0,0,0,0
426,44,0,34.000002,39.000001,0,0,0,0,0,0
427,44,0,29.999999,28.000001,0,0,1,0,0,0
428,44,0,29.999999,28.999999,0,0,0,0,0,0
429,44,0,34.000002,30.999999,0,0,1,0,0,0
430,44,0,43.000001,30.999999,0,0,0,0,0,0
431,44,0,21,34.000002,0,0,0,0,0,0
432,44,0,21,34.000002,0,0,0,0,0,0
433,45,0,45,34.000002,0,0,0,0,0,0
434,45,1,45,28.000001,0,0,0,0,0,0
435,45,0,30.999999,35,0,1,1,0,0,0
436,45,0,30.999999,35,0,0,1,0,0,0
437,45,0,29.999999,48,0,0,1,0,0,0
438,45,0,27.000001,48,0,0,1,0,0,0
439,45,0,41.999999,29.999999,1,0,0,0,0,0
440,45,0,29.999999,48.999999,0,0,0,0,1,0
441,45,0,27.000001,35,0,0,0,1,0,0
442,45,0,29.999999,41.000001,0,0,0,1,0,0
443,46,0,44.333334,30.999999,0,0,0,0,0,0
444,46,0,38.333334,28.000001,1,0,0,0,0,0
445,46,1,38.333334,28.000001,1,0,0,0,0,0
446,46,1,41.666668,34.000002,0,0,0,0,0,0
447,46,0,42.666667,37,0,0,0,0,0,0
448,47,0,41.666668,35,0,0,0,0,0,0
449,47,0,45.000002,35,0,0,1,0,0,0
450,47,0,37.999999,33,0,0,0,1,0,0
451,47,0,46,30.999999,0,0,1,0,0,0
452,47,0,46.999998,29.999999,0,0,1,0,0,0
453,47,0,41.999999,37,0,0,1,0,0,0
454,48,0,37,34.000002,0,0,0,0,0,0
455,48,1,29.999999,18.999999,0,0,0,0,0,0
456,48,0,43.000001,29.999999,0,0,0,0,0,0
457,48,0,30.999999,30.999999,1,0,0,0,0,0
458,48,0,34.000002,30.999999,0,0,0,0,0,0
459,49,0,28.000001,29.999999,0,0,0,0,0,0
460,49,0,21,30.999999,0,0,0,0,0,0
461,49,0,17.000001,33,0,0,0,0,0,0
462,49,0,28.000001,28.000001,0,0,0,0,0,0
463,49,0,41.999999,41.999999,0,0,0,0,0,0
464,49,0,17.999999,41.999999,0,0,0,0,0,0
465,49,0,17.999999,41.999999,0,0,0,0,0,0
466,49,0,17.999999,41.999999,0,0,0,0,0,0
467,50,0,34.000002,30.999999,0,0,0,0,0,0
468,50,0,34.000002,30.999999,0,0,1,0,0,0
469,50,0,43.000001,30.999999,0,0,0,0,0,0
470,50,0,46,34.000002,0,0,0,0,0,0
471,50,0,21,34.000002,0,0,0,0,0,0
472,51,0,30.999999,37,0,0,0,0,1,0
473,51,0,30.999999,37,0,0,0,0,0,0
474,51,0,30.999999,35.999998,0,0,0,0,0,0
475,51,0,30.999999,35.999998,0,0,0,0,0,0
476,51,0,30.999999,34.000002,0,0,1,0,0,0
477,51,0,30.999999,34.000002,0,0,0,0,1,0
478,51,0,29.999999,29.999999,0,0,0,0,0,0
479,51,0,29.999999,35,0,0,0,0,0,0
480,51,0,29.999999,35,0,0,0,0,0,0
481,51,0,29.999999,28.999999,0,0,0,0,0,0
482,51,0,41.999999,28.000001,0,0,0,0,0,0
483,51,0,29.999999,35,0,0,0,0,0,0
484,51,0,29.999999,35,0,0,0,0,0,0
485,51,0,27.000001,35,0,0,0,0,0,0
486,51,0,27.000001,35,0,0,0,0,0,0
487,51,0,27.000001,35,0,0,0,0,0,0
488,51,0,30.999999,35,0,0,1,0,0,0
489,51,0,30.999999,35,0,0,1,0,0,0
490,51,0,30.999999,35,0,0,0,0,0,0
491,51,0,30.999999,35,1,0,0,0,0,0
492,51,0,21,34.000002,0,0,0,0,0,0
493,51,0,30.999999,37,0,0,0,0,1,0
494,52,0,28.000001,35.999998,0,0,0,0,0,0
495,52,0,29.999999,48,0,0,1,0,0,0
496,52,0,27.000001,48.999999,0,0,0,0,1,0
497,52,0,34.000002,28.000001,0,0,0,0,0,0
498,52,0,46,41.000001,0,0,1,1,0,0
499,53,0,46,41.000001,0,0,1,1,0,0
500,53,0,46,41.000001,0,0,1,1,0,0
501,53,0,35,28.000001,0,0,0,0,0,0
502,53,0,32.000002,43.000001,0,0,1,0,0,0
503,53,0,21,34.000002,0,0,0,0,0,0
504,53,0,17.999999,41.999999,0,0,0,0,0,0
505,54,1,50.000001,30.999999,0,0,0,0,0,0
506,54,0,43.000001,28.999999,0,0,0,0,0,0
507,54,0,37.999999,30.999999,0,0,0,0,0,0
508,54,0,39.000001,30.999999,1,0,0,0,0,0
509,54,0,46.999998,30.999999,0,0,0,0,0,0
510,54,1,50.000001,25,0,1,0,0,0,0
511,54,0,39.000001,28.999999,0,0,0,0,1,0
512,54,0,43.000001,34.000002,0,0,0,0,0,0
513,55,0,32.000002,37,0,0,0,0,0,0
514,55,0,35,29.999999,0,0,0,0,0,0
515,55,0,29.999999,29.999999,1,0,0,0,0,0
516,55,1,34.000002,30.999999,0,0,0,0,0,0
517,55,0,37,28.000001,0,0,0,0,0,0
518,55,0,37,37,0,0,0,0,0,0
519,56,0,22,34.000002,0,0,0,0,0,0
520,56,0,29.999999,28.000001,0,0,1,0,0,0
521,56,0,28.000001,30.999999,0,0,1,0,0,0
522,56,0,30.999999,30.999999,1,0,0,0,0,0
523,56,0,30.999999,34.000002,0,0,0,0,0,0
